tenure,estress,affect,withdraw,sex,age,ese
3.25,4,1.5,5,0,25,5.46
2.25,3.5,1.16,2.33,1,27,5.2
3.08,5,1.5,1.66,1,28,5
8,4.5,1,3,0,30,6.46
1.08,3.5,3.16,2.66,1,33,4.66
.67,6,1.83,1,1,58,5.86
1.17,3.5,1.16,3.33,0,25,4.86
7.08,4,1,4,0,50,5.5
2,4,1.33,3,1,54,5.8
7.25,5.5,3.5,2.66,1,35,5.93
8.58,7,1,1,1,53,7
8.17,5,2,3.66,1,27,7
8,4.5,1.4,3,0,52,6.8
1.42,3.5,1.66,2,1,24,6.05
5.75,5,1.66,4,0,31,6.13
2.42,1,5,7,1,26,7
0,5.5,2.16,2,0,29,4
0,6.5,2,1,1,36,7
.17,5.5,1.5,3.66,1,49,5.86
0,3,1.33,2.66,1,38,6.4
1.67,7,1.66,1,1,26,7
2,7,2.83,1.66,1,36,7
4,3,1.16,1,0,55,6.26
11,5,1,1.33,0,56,6
.17,3,1.16,3,1,47,7
8,3,1.5,4,0,44,5.13
24,6,1.5,4.66,1,55,4.8
14,2.5,1.83,4,1,57,5.6
0,7,1.83,2.66,1,45,4.4
1.58,3,1,1,1,51,6.26
1,1.5,1,1,0,50,6.66
1.25,1.5,1,1,0,50,5.33
10,5.5,1.16,1.66,1,32,4.6
1.17,5.5,1.83,2.33,0,48,4.35
.5,6,1.66,3,1,45,4.8
14,5.5,2,3,1,51,7
18,6.5,1,1,1,33,6.86
4.5,3,1.66,4,0,29,4.86
1.08,6.5,1.16,2.33,1,36,4.6
14.58,6.5,2.5,4.33,0,51,4.86
3,4,1.16,2,1,38,6.6
22,5,1,2.66,0,46,5.6
0,7,2,2,1,33,7
9,4.5,1,1,1,40,5.33
2.33,4,1.16,1,0,26,6.05
19,4,1.83,1.66,1,51,4.33
0,5.5,1.16,1,0,38,6.73
17,7,1.33,1,0,44,6.05
0,4,1.16,1.33,0,30,5.46
2,4.5,1.6,2.33,0,44,4.93
5,4,1,1,0,51,6.2
8.08,3.5,1.5,4,0,30,4.33
.08,4,1.33,2,0,44,5
5,4,1,1,0,51,6.53
0,6,2.16,2,0,26,6.13
16.5,5,1.16,3,0,55,4.46
.17,6,3.16,3.66,1,28,6.86
1,6,2.33,3,1,48,5.93
1.17,4.5,2.16,3.66,1,32,4.73
8,5.5,2,4,0,42,4.6
8,4.5,1.5,3.66,1,56,5
9.67,4.5,1,1,1,51,6.53
13,6,1.33,1,0,51,5.76
10,4.5,1.83,1,0,55,4.07
9.08,2.5,1.33,2,1,31,6
19.67,3.5,1.16,1,0,42,5.26
29,1,1,2.66,1,63,6.33
1,3.5,1,1,0,51,6.13
.58,3.5,1,4,1,49,5
10,4.5,1,1,0,54,4.2
9,4,1,2.33,1,45,6.13
.42,5,1.83,4.33,1,61,3.66
5,3.5,1,1.66,1,55,5.86
3,4,1.5,2.66,1,48,5.86
3.83,4,2,3.33,0,60,6.8
0,3.5,1.33,3,1,60,4.8
6,3,1.16,1,1,33,6.05
3,5.5,1.83,2.33,1,48,5.66
10,5.5,1.5,4,0,48,5.66
